RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
394324,"Americus, GA",451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77100,82400,84100,85100,80400,84100,75500,82900,71600,78600,77600,93700,99200,97900,87900,78500,85600,85600,90200,72700,82e3,72100,89100,83300,85300,77100,77300,87800,
394554,"Easton, MD",452,,,,,,,,,,,,,,,,360300,345500,353500,349300,348200,337500,300400,303100,291900,308500,253200,234100,223600,231500,280300,281300,286800,255700,258700,248900,239300,229600,224900,219800,229800,219400,202500,215400,224400,247800,261e3,283900,296100,295700,293e3,277900,269500,264800,263800,248100,254900,273900,268500,270700,258600,266600,255e3,262700,251600,252300,274800,278500,280700,247600,231200,251500,257300,276200,264200,259200,264300,283500,310800,307100,282e3,249700,248e3,244200,233e3,225400,242900,254400,261e3,240100,244600,271500,277400,278200,263700,264500,268900,263e3,266800,271100,271300,279200,276700,272900,289400,314900,315400,290500,289900,300700,301800,271e3,269100,275e3,281e3,291700,326200,336300,323200,288400,283100,287800,293300,292100,290600,272600,296600,293700,313200,291200,293200,283e3,310500,309e3,329700,
394920,"North Platte, NE",453,,,,,,,,,,,,,,,,,,,,,,,,,,,110500,103400,102200,95400,102100,117500,119900,127900,107200,110500,99300,97400,105900,116e3,130300,133700,120800,123200,133600,147700,134500,124600,115200,121900,108900,104600,117300,113800,104e3,105700,114100,137800,122500,114700,106300,118400,122700,129700,119700,117200,113e3,121500,121600,118600,107800,119900,117500,115300,102600,107600,118200,132400,132400,130200,137100,139400,143200,120900,113700,112900,124100,118200,109300,108700,122e3,133e3,119100,119900,120500,150300,157e3,160600,140600,131200,129500,131600,135100,131100,131400,151200,156600,159300,147600,140800,14e4,131800,143600,137500,133600,122200,128800,127700,133500,155900,155600,149e3,133900,143900,158e3,162600,173600,165500,165200,153500,158400,150600,136300,140100,
395046,"Safford, AZ",454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122500,125700,128400,128100,126600,124400,120200,113400,114500,124100,129300,130900,127800,130100,130300,126e3,122400,124200,127500,129600,127900,126500,151800,149400,155700,131100,130900,129800,132600,118100,119800,124600,152600,155200,153e3,150200,148100,147400,144200,154e3,155600,157600,163900,166700,164100,147200,146500,142500,141900,140500,149100,141900,145400,136600,128100,122900,124900,140200,156600,160200,161e3,150300,149500,154200,152900,147300,154200,154400,158100,154700,156500,169900,167900,166700,151600,139600,137900,142500,155900,148800,147100,136700
394894,"Murray, KY",455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114e3,140400,144200,131500,114800,114600,114400,114200,102900,100200,103400,106500,107600,117500,127900,13e4,125600,118200,140800,141200,145e3,119600,124100,125500,124300,121300,121400,121300,114900,112600,112600,111900,110100,117900,112800,112100,109700,109800,111800,117200,126600,130900,142300,141400,135700,114e3,116300,117500,129200,129100,130600,128300,120800,120800,116100,128500,127300,129700,123300,129100,116500,115e3,122200,134e3,137800,124200,126700,122100,125600,117200,116100,116500,116700,119200,107400,106300,107100,115700,127200,126400,131600,135900,144700,140100,137500,132200,133500,134500,132800,129600,130100,128300,129e3,129500,128700,128100,130400,142100,147500,143600,
394341,"Astoria, OR",456,240400,271e3,280700,287600,251200,237600,236600,245900,240400,219500,195900,198700,213500,218700,219600,233900,231700,232e3,22e4,234e3,237100,225900,218800,220300,236700,237400,239300,231200,218800,208300,216700,212700,214900,195900,208700,206600,205400,192500,184700,191200,190400,188500,181300,185900,195900,204200,200300,199100,186600,197400,185100,202900,199400,195200,193700,196600,220300,207100,201900,194100,214700,22e4,218500,201800,193100,194100,200900,216100,212900,219400,213e3,216800,208500,205800,215300,233800,241600,246300,241e3,242200,241900,219700,221e3,203e3,225400,227500,243800,240700,237400,230500,229500,232800,235100,238300,235400,245200,253800,247700,247600,236e3,255500,262500,272800,269900,274200,262900,268e3,266400,275300,273600,263500,277400,281700,284200,275500,263700,269e3,270700,286800,283800,282500,282200,301300,315300,318800,308800,305900,311700,321500,323400,326100,315800,303200,282300,295300
394973,"Peru, IN",457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90500,86500,76600,81700,86e3,94200,84800,83200,86100,88600,78900,71700,71200,77200,79400,80900,82500,80400,84900,77900,83e3,69500,83700,77700,87500,82600,79400,86600,87700,96700,89400,90600,91500,89500,92300,86900,91100
394506,"Coshocton, OH",458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78800,82700,79400,71700,78800,83300,85300,74900,77600,79500,82700,83100,87800,70500,69100,78500,91900,91e3,83700,84200,87500,83700,90700,87700,85800,68800,68500,69900,79300,81e3,76400,88600,81400,87300,82400,83800,83e3,75600,80400,75800,84600,76700,77400,77700,77700,82200,77200,101700,104600,101400,93e3,92500,99400,
394916,"Newton, IA",459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71200,78400,70400,69700,73300,76500,86400,75e3,94400,87e3,90900,74900,79100,87800,94900,99900,99900,91700,91800,81900,82100,84300,82700,95e3,94e3,106700,94800,95900,95300,97500,90100,93900,103100,102200,104500,98400,100600,90100,97700,98600,97900,96900,99700,106700,103400,1e5,92200,92900,101200,102900,91600,83400,88600,104800,107800,99300,88600,92500,101e3,100200,99900,99600,105300,108700,113200,106400,91200,92100,93900,105600,98500,100900,95300,108200,110500,111100,99900,102200,108600,107600,102700,101600,103600,109400,107900,109400,105400,109e3,106300,102600,106900,102700,109400,107500,119e3,124e3,119300,118200,118900,135400,139800,128e3,108900,91900,99800,111900
394617,"Fremont, NE",460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118300,108300,116600,118e3,115800,121200,120100,116700,114800,120500,124900,124900,123400,122400,120900,122500,126600,126600,126100,125900,134900,133900,130300,122900,127700,130100,134800,133400,135100,134600,135e3,134600,125500,141300,147300,159500,146900,147400,144800,150700,148600,161700,171800,180700,177e3,161700,149700,141300,140500
394702,"Hutchinson, MN",461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140400,139200,142200,137300,138800,139600,137700,129500,124500,131600,136800,142800,142100,146800,151400,148700,147600,153600,147700,145e3,142600,147200,149400,150600,158e3,157800,153900,154300,161500,159300,160800,156e3,157900,151300,151300,149600,156500,,,,,,,,,,,
394948,"Owatonna, MN",462,,,,,,,,,,,,,119500,115200,124700,128700,121700,128700,126e3,135900,132100,142800,131500,129900,123800,138900,134400,129400,110300,110300,111900,114700,116100,112400,115100,115500,123400,116200,108700,110200,111700,118400,113200,119600,123800,124900,125700,127700,134800,142100,150900,138400,130900,115200,122700,123700,125200,121200,121800,146800,151900,152400,128600,132100,136200,134300,126500,125200,136800,139300,135300,125100,119800,115800,119500,125800,128400,134500,136400,136100,129900,129300,141400,143300,146600,141300,137900,134500,133100,141200,143600,144400,141100,138e3,139200,135400,136600,137300,141600,141e3,139800,137300,141500,146400,149700,148700,143600,149100,144700,148700,144900,149e3,15e4,149300,148700,146400,146700,153300,160700,181500,188500,190100,176300,168600,166600,163200,163600,160600,160500,,,,,,
395191,"Vidalia, GA",463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98e3,99600,95300,94400,98400,113500,100500,100800,98800,104600,107400,98400,94900,89200,101e3,107500,111100,104100,104900,118400,127500,128400,124200,103900,120300,
394835,"Martin, TN",464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62700,60100,65100,60300,60600,59800,63400,73400,68200,75200,70300,71300,67e3,66700,68900,68700,66900,66900,64900,65e3,65200,66e3,63700,62900,67300,69300,71500,70600,64100,54700,55700,60900,67500,66600,68900,73900,72e3,70900,67100,70400,73400,69900,73700,70900,80800,74700,74100,81400,85100,90700,77600,79800,83400,91200,78200,80500,89e3,97400,94200,8e4,82e3,81200,83400,90900,90900,89700,76900,75100,78400,83900,85200
753894,"Junction City, KS",465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155400,158e3,143800,145400,140900,156300,158900,158800,154500,153500,152700,143900,135900,139600,151100,154500,152e3,137700,128400,143400,146600,157900,147900,147400,152600,150400,151800,143e3,141e3,149900,145100,144200,128200,130500,131300,132600,125800,121900,131200,,,,,,,,,,,
394557,"Effingham, IL",466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111900,116600,119700,123200,116500,113900,121300,125100,130500,123600,13e4,133500,136500,138700,145900,138400,132600,122300,136900,155400,162300,155700,146700,134300,147700,145200,156500,132300,118500,114500,
394331,"Angola, IN",467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162700,163700,151600,153400,161100,156100,16e4,155800,157900,155500,156300,162600,163800,174100,162600,154300,149100,156600,168e3,155200,16e4,154400,189600,179400,181500,160100,
394536,"Dodge City, KS",468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109200,114e3,107300,108200,97200,93800,97100,99100,108100,118600,116800,121900,125500,125e3,124200,133200,141400,154700,142500,143500,145800,137700,132200,115200,121200,126200,134200,130400,116800,118100,114800,146300,142e3,136900,116200,113200,131700,140700,152600,143200,142200,134e3,128300,128e3,130300,140100,143700,147e3,151e3,147e3,147700,146500,145800,132500,122600,123300,134100,142900
394414,"Brevard, NC",469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162500,156100,152300,154e3,157700,154800,159900,158900,164600,163600,166300,162400,162400,165100,177300,175500,180900,187700,194900,196e3,182400,178e3,189700,213200,223500,215700,196200,200200,197100,203700,194700,200800,186600,198200,182400,203100,203600,214800,210700,210100,213100,215e3,200900,208400,204800,220600,216700,216100,209200,210100,217600,222600,229900,228e3,240600,231500,244e3,233800,236700,232400,235700,242700,232600,233500,227200,230700,232900,234100,225800,235600,231200,256700,236e3,238800,243300,250300,255e3,236600,235800
394433,"Cambridge, MD",470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133e3,120400,122500,133200,134500,143300,144800,144500,132800,131600,137700,14e4,136500,138500,141e3,143700,142700,159100,160700,158400,140600,127800,15e4,152500,161e3,133900,127600,128100,134300,
394815,"Madison, IN",471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139e3,136e3,124300,122600,124e3,131400,142800,120800,115600,112500,137e3,148800,143400,126900,129300,134600,146800,140100,133800,136900,134e3,129300,127200,114500,133200,128200,139800,120900,119100,121600,128300,133e3,135400,134800,140900,137200,172700,,
394419,"Brookings, SD",472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180800,175300,173200,157300,166400,167900,180700,177400,176400,169500,173600,175300,197400,199900,199400,192300,189600,195800,198900,195100,198500,191900,201300,197800,205100,212800,216500,,,,,,,,,,,
753878,"Dayton, TN",473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95e3,98600,99500,98800,96500,95e3,98900,101800,107300,108e3,105900,103e3,104800,105100,103500,103300,101600,102500,104400,104300,109100,105500,109700,106300,109700,110400,114200,119600,127900,133200,118200,110200,112600,116100,120400,118100,130600,132600,132600,137700,141700,143400,139500,138500,137300,137400,134200,130300,133100,130200,128600,110100,118400,112800,125100,124800,129e3,135300,
394730,"Juneau, AK",474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320500,330500,336700,328800,350100,356800,360700,372400,360500,362100,351900,352500,354100,356900,362700,341400,320700,327200,355600,363500,374300,368200,379700,347900,367400,353800,374200,367300,366900,346600,346200,340700,353600,365300,362700,383e3,364600,366600,351400,369700,384200,387500,390100,382600,384200,373700,377500,378100,367e3,380600,359900,362600,325100,337600,332200,378600,385100,
394786,"Lewisburg, TN",475,89700,97500,94200,87600,8e4,78600,85200,83e3,81200,81100,85600,85700,76e3,70900,69100,72500,76100,75200,71900,70500,80200,84300,90300,87e3,87300,83900,84600,83900,86200,82900,81100,83e3,80600,76700,68400,69900,64100,68300,69500,79600,69500,72300,66300,69900,67600,82200,78600,8e4,69500,80900,75600,77100,69800,76e3,75900,84300,78900,92500,87200,92e3,80900,84300,85700,83600,83e3,86600,9e4,88200,85800,85e3,92500,96900,101400,102200,98900,101800,97100,97e3,89700,89600,92800,94500,98500,108300,102100,101700,92300,100100,104300,104200,111100,110900,113300,113400,104700,99400,97600,100300,106100,109500,110100,115200,116e3,122700,120300,123400,132500,138e3,133100,124e3,122500,129100,138300,133400,133800,135900,139400,140700,128700,124600,124900,133200,141700,148e3,152300,159200,150800,147200,139100,146100,152600,159800,168e3,168600,
395206,"Washington Court House, OH",476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91300,97700,91200,85e3,79900,93300,107100,98300,95500,92500,89500,79800,78800,83600,95500,97900,99400,88800,94700,89100,94e3,99800,113200,117500,111400,107400,99700,98300,109200,112700,122200,115800,122300,107900,111e3,109600,116600,105300,107800,118300,126100,125700,120300,117500,117600,103e3,98300,88600,102500,106700,110900,95900,97700,107800,
394853,"Merrill, WI",477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100500,97400,104900,108100,106700,112500,117400,122900,115100,103100,94900,91500,104500,113700,109900,99400,113800,116500,111300,100400,107100,110400,107600,101900,115400,114400,118800,116700,123800,126700,119700,115800,131100,140200,138600,117200
394508,"Crescent City, CA",478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139500,160700,168700,178500,197e3,210200,21e4,195700,188800,186600,188900,187100,186100,186200,192200,189900,193e3,184e3,196800,192900,226100,219700,198900,189e3,178800,196900,181200,191600,199400,200500,201200,207900,208300,201200,195800,213600,206700,239700,222e3,253800,225600,228200,220200,222700,235100,219700,217800,211400,
394606,"Fort Morgan, CO",479,125500,116200,111700,119700,128900,124500,121800,108300,117800,106400,109200,101800,117100,116900,99500,95e3,85300,99800,98400,109400,105500,109e3,113e3,120400,121400,111700,107200,105500,99500,98500,94900,107800,101400,109700,109100,111100,110400,101400,110500,97400,101800,102500,113100,111300,101e3,92500,87900,93500,99800,109100,115400,117800,119200,120900,108400,105800,102200,118700,122500,123100,115e3,115500,120300,126500,128700,118100,120500,123800,140100,142200,144300,142100,145400,138600,127400,120900,128900,142400,133e3,132700,141100,154200,148100,140200,143700,145800,142700,142500,146900,151600,154300,151800,148100,149600,153400,157400,154300,155500,152100,157800,150800,152600,141100,146900,148500,156600,157700,159100,158200,183700,190300,192e3,168800,163900,168300,167900,169e3,163900,164300,170900,199800,210200,217600,198300,196e3,199100,203300,203e3,205400,215700,247200,258700,250200,229100,
