Geographical Area,Population_2000,Population 2010,Area in square miles,Population density 2000,Population density 2010
"Vidalia, GA","34,337","36,346",603.5,56.9,60.2
"Vincennes, IN","39,256","38,440",516.0,76.1,74.5
"Wabash, IN","34,960","32,888",412.4,84.8,79.7
"Wahpeton, ND-MN","25,136","22,897","2,186.7",11.5,10.5
"Walla Walla, WA","55,180","58,781","1,270.1",43.4,46.3
"Walterboro, SC","38,264","38,892","1,056.5",36.2,36.8
"Wapakoneta, OH","46,611","45,949",401.4,116.1,114.5
"Warren, PA","43,863","41,815",884.1,49.6,47.3
"Warrensburg, MO","48,258","52,595",829.3,58.2,63.4
"Warsaw, IN","74,057","77,358",531.4,139.4,145.6
"Washington, IN","29,820","31,648",429.5,69.4,73.7
"Washington, NC","44,958","47,759",827.2,54.4,57.7
"Washington Court House, OH","28,433","29,030",406.4,70.0,71.4
"Watertown, SD","31,437","33,130","1,195.7",26.3,27.7
"Watertown-Fort Atkinson, WI","74,021","83,686",556.5,133.0,150.4
"Watertown-Fort Drum, NY","111,738","116,229","1,268.6",88.1,91.6
"Wauchula, FL","26,938","27,731",637.8,42.2,43.5
"Waycross, GA","51,119","55,070","1,209.0",42.3,45.6
"Weatherford, OK","26,142","27,469",988.8,26.4,27.8
"West Plains, MO","37,238","40,400",927.2,40.2,43.6
"West Point, MS","21,979","20,634",410.1,53.6,50.3
"Whitewater, WI","93,759","102,228",555.1,168.9,184.2
"Willimantic, CT","109,091","118,428",512.9,212.7,230.9
"Williston, ND","19,761","22,398","2,077.4",9.5,10.8
"Willmar, MN","41,203","42,239",796.8,51.7,53.0
"Wilmington, OH","40,543","42,040",408.7,99.2,102.9
"Wilson, NC","73,814","81,234",368.2,200.5,220.6
"Winfield, KS","36,291","36,311","1,125.8",32.2,32.3
"Winona, MN","49,985","51,461",626.2,79.8,82.2
"Woodward, OK","18,486","20,081","1,242.4",14.9,16.2
"Wooster, OH","111,564","114,520",554.9,201.0,206.4
"Worthington, MN","20,832","21,378",715.1,29.1,29.9
"Yankton, SD","21,652","22,438",521.2,41.5,43.1
"Yazoo City, MS","28,149","28,065",922.9,30.5,30.4
"Zanesville, OH","84,585","86,074",664.6,127.3,129.5
Outside core based statistical area,"19,131,679","19,484,223","1,881,977.0",10.2,10.4
,,,,,
Puerto Rico,"3,808,610","3,725,789","3,423.8","1,112.4","1,088.2"
Inside core based statistical area,"3,780,126","3,698,513","3,278.4","1,153.0","1,128.1"
In metropolitan statistical area,"3,617,954","3,534,375","2,872.2","1,259.6","1,230.5"
"Aguadilla-Isabela-San Sebastián, PR","312,602","306,292",358.5,872.0,854.4
"Fajardo, PR","78,533","70,692",84.7,927.1,834.5
"Guayama, PR","83,570","84,214",126.7,659.6,664.7
"Mayagüez, PR","115,048","106,330",89.0,"1,292.8","1,194.9"
"Ponce, PR","264,919","243,147",210.7,"1,257.5","1,154.1"
"San Germán-Cabo Rojo, PR","136,212","137,462",220.7,617.3,623.0
"San Juan-Caguas-Guaynabo, PR","2,509,007","2,478,905","1,589.9","1,578.1","1,559.1"
"Yauco, PR","118,063","107,333",192.1,614.5,558.6
,,,,,
In micropolitan statistical area,"162,172","164,138",406.2,399.3,404.1
"Adjuntas, PR","19,143","19,483",66.7,287.0,292.1
"Coamo, PR","68,710","71,590",147.4,466.2,485.8
"Jayuya, PR","17,318","16,642",44.5,388.9,373.7
"Santa Isabel, PR","21,665","23,274",34.0,636.8,684.1
"Utuado, PR","35,336","33,149",113.5,311.2,292.0
Outside core based statistical area,"28,484","27,276",145.4,195.9,187.6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
